Store,Start Date,Users,Sessions,Session Duration (SECONDS),Pageviews,Pages per Session,Avg. TOS,Bounces,Bounce Rate,Total Time Spent (DAYS),Product Hotspot Clicks,Text Hotspot Clicks,Image Hotspot Clicks,Link Hotspot Clicks,Pop-up Hotspot Button Clicks,Pop-up Video,Arrow Nav Clicks,Menu Nav Clicks,Custom Event Clicks,Add to Cart Clicks,Checkout Clicks,Add to Wishlist Clicks,PDP Clicks,Cart Icon Clicks,Add to Cart CTR,Checkout CTR,[NEW] Total Interactions,[New] Total Interactions per User
WqtWQudwti,Start date,Total Users,Sessions,User Engagement Duration,Screen Page Views,Pages per Session,Avg. TOS,Bounces,Bounce Rate,Total Time Spent (DAYS),,,,,,,,,,Add To Carts,Checkouts,,,Cart Icon Clicks,Add to Cart CTR,Checkout CTR,Total Interactions,Total Interactions per User
HBoXaelvBO,"Jul 7, 2021","63,336","75,702","5,132,001","91,547",1.21,0:01:07,39819,52.60%,59.40,,,,,,,,,,0,0,,,508,0.00%,0.00%,"396,216",6.3
kLrJWZOhna,"Jan 1, 2021",143,191,"15,162",909,4.76,0:01:19,55,28.80%,0.18,,,,,,,,,,0,0,,,0,0.00%,0.00%,997,7.0
hqVZBELdwf,"Jan 1, 2021",324,448,"47,205","2,423",5.41,0:01:45,118,26.34%,0.55,,,,,,,,,,0,0,,,0,0.00%,0.00%,"4,640",14.3
YtusFmwfNZ,"Dec 3, 2021",102,133,"17,772",848,6.38,0:02:13,27,21.05%,0.21,,,,,,,,,,0,0,,,0,0.00%,0.00%,"1,038",10.2
CAgeWSccyf,"Dec 10, 2021",15,23,515,37,1.61,0:00:22,6,30.43%,0.01,,,,,,,,,,0,0,,,0,0.00%,0.00%,41,2.7
atHrnxjMJa,"Dec 10, 2021",75,129,"21,634","1,016",7.88,0:02:47,38,29.46%,0.25,,,,,,,,,,0,0,,,0,0.00%,0.00%,"1,847",24.6
acRvWVmSUW,"Mar 8, 2022",0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0
kZhhKGsjlM,"Mar 31, 2022","1,409","2,354","14,700","3,150",1,0:00:06,478,20.31%,0,,,,,,,,,,0,0,,,0,0.00%,0.00%,"1,212",1
aJPEjdqybq,"Apr 13, 2022",56,62,"2,395",160,2.58,0:00:38,20,33.87%,0.03,,,,,,,,,,0,0,,,0,0.00%,0.00%,267,4.8
pCXfDOyRVL,"Apr 20, 2022",151,213,"12,966",698,3.28,0:01:00,74,35.21%,0.15,,,,,,,,,,9,3,,,21,4.23%,1.41%,"2,004",13.3
AaKeejHjei,"May 5, 2022",22,27,470,26,1,0:00:17,16,62.96%,0,,,,,,,,,,0,0,,,0,0.00%,0.00%,0,0
rkIwtYXxmD,"May 13, 2022",0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0
XBcpRuwVVy,"Jun 22, 2022",83,101,"6,131",273,2.70,0:01:00,32,32.67%,0.07,,,,,,,,,,5,3,,,14,4.95%,2.97%,761,9.2
fMGhBztdoX,"Jul 1, 2022",0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0
SjsUwzfVyP,"Jul 1, 2022",17,25,"2,155",58,2.32,0:01:26,11,44.00%,0.02,,,,,,,,,,0,0,,,0,0.00%,0.00%,64,3.8
nJaGSjdVCL,"Jul 7, 2022",114,156,"11,037",821,5.26,0:01:10,48,31.41%,0.13,,,,,,,,,,0,0,,,0,0.00%,0.00%,"1,828",16.0
uAwVQlFvsA,"Jul 11, 2022",12,14,"1,773",93,6.64,0:02:06,3,28.57%,0.02,,,,,,,,,,0,0,,,0,0.00%,0.00%,112,9.3
rjpkxFKtdY,"Jul 25, 2022",29,37,"2,224",134,3.62,0:01:00,8,24.32%,0.03,,,,,,,,,,0,0,,,0,0.00%,0.00%,199,6.9
